"","datetime","fog_total_solids_pct","fog_VS_pct","fog_total_volatile_acids_mgl","fog_chemical_oxygen_demand_mgl","food_total_solids_pct","PS_total_solids_avg_pct","food_VS_pct","food_total_volatile_acids_mgl","food_chemical_oxygen_demand_mgl","PS_volatile_acids_mgl","PS_soluble_chemical_oxygen_demand_mgl","TWAS_total_solids_pct","TWAS_total_volatile_acids_mgl","TWAS_soluble_chemical_oxygen_demand_mgl","PD1_start_time_feed_hrs","PD1_total_hours_of_feed_hrs","PD2_stop_time_feed_hrs","PD1_alkalinity_mgl","PD1_sCOD_mgl","PD1_VS_pct","PD2_COD_mgl","PD2_TS_pct","fog_soluble_chemical_oxygen_demand_mgl","food_soluble_chemical_oxygen_demand_mgl","PS_VS_avg_pct","PS_chemical_oxygen_demand_mgl","PS_total_alkalinity_mgl","comments_digester_1_ac","comments_digester_2_ac","TWAS_VS_pct","TWAS_chemical_oxygen_demand_mgl","TWAS_total_alkalinity_mgl","PD1_stop_time_feed_hrs","PD2_start_time_feed_hrs","PD2_total_hours_of_feed_hrs","PD1_volatile_acids_mgl","PD1_ph_su","PD1_temperature_degf","PD1_gas_generation_cfday","PD1_gas_generation_cfhr","PD1_COD_mgl","PD1_TS_pct","PD2_alkalinity_mgl","PD2_sCOD_mgl","PD2_VS_pct","PD2_volatile_acids_mgl","PD2_ph_su","PD2_temperature_degf","PD2_gas_generation_cfday","PD2_gas_generation_cfhr","fog_feed_volume_gal","fog_loading_rate_lb1000ft3xd","food_feed_volume_gal","food_loading_rate_lb1000ft3xd","PS_feed_volume_gal","PS_loading_rate_lb1000ft3xd","TWAS_feed_volume_gal","TWAS_loading_rate_lb1000ft3xd","PD_target_organic_loading_rate_pct","PD_organic_loading_rate_pct","PD_organic_loading_rate_7dayavg_pct","PD1_volatile_solids_reduction_pct","PD1_va_alk_ratio_mgl","PD1_methane_pct","PD1_co2_pct","PD2_volatile_solids_reduction_pct","PD2_va_alk_ratio_mgl","PD2_methane_pct","PD2_co2_pct","daily_ccr_AD2_Influent","daily_ccr_AD2","daily_ccr_AD1"
"1",2019-10-17,0.9,91.8,1000,30000,NA,22.3,91.5,10000,290000,NA,4.2,86.3,1000,80000,NA,1000,7.2,85.5,2000,63000,NA,1000,8.1,13,4.9,8.1,13,NA,NA,4.9,6000,37000,NA,2.2,71.6,97,7.7,73.21,NA,34.33,6000,25000,NA,2.2,71.2,72,7.4,87.55,NA,8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5908513341804,203.172808132147,495.750952986023
"2",2019-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,13.3,4.15,9.15,13.15,"ok",NA,4,NA,NA,NA,NA,NA,NA,7.6,74.96,NA,131.83,NA,NA,NA,NA,NA,NA,7.5,86.37,NA,23.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4597222222222,197.833333333333,202.102083333333
"3",2019-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,13.34,4.89,8.45,13.34,NA,NA,4.89,NA,NA,NA,NA,NA,NA,7.5,88.2,NA,75.6,NA,NA,NA,NA,NA,NA,7.5,86.65,NA,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4125,187.001388888889,125.106944444444
"4",2019-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,14.3,5.15,9.15,1430,NA,NA,1420.85,NA,NA,NA,NA,NA,NA,7.4,95.45,NA,198.88,NA,NA,NA,NA,NA,NA,7.4,87.75,NA,26.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4340277777778,205.164583333333,127.00625
"5",2019-10-21,3.23,96.2,4000,96000,NA,26,91.7,10000,190000,NA,4,85.6,2000,59000,NA,NA,7.3,86.5,800,33000,NA,NA,9.15,14.3,5.15,9.15,14.3,NA,NA,5.15,NA,34000,NA,2.4,72.3,63,7.4,99.79,NA,74.43,NA,24000,NA,2.4,71.9,51,7.4,90.11,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,101.133333333333,102.266666666667
"6",2019-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,13.25,4.84,8.41,13.25,NA,"unpluged pump ansd isolated heat loop",4.84,NA,NA,NA,NA,NA,NA,7.4,100.17,NA,81.25,NA,NA,NA,NA,NA,NA,7.4,100.07,NA,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3744075829384,117.099526066351,86.8436018957346
"7",2019-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11.55,3.55,8,11.55,NA,NA,3.55,NA,NA,NA,NA,NA,NA,7.4,99.85,NA,82.69,NA,NA,NA,NA,NA,NA,7.5,98.72,NA,91.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3333333333333,265.610416666667,89.3715277777778
"8",2019-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,13.15,5.7,7.45,12,"counter o/s","counter o/s",4.55,NA,NA,NA,NA,NA,NA,7.5,99.68,NA,NA,NA,NA,NA,NA,NA,NA,7.5,99.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1335187760779,264.263560500695,113.142559109875
"9",2019-10-29,3.19,91.4,5000,64000,NA,22.1,90.2,10000,250000,NA,6.2,82.5,1000,43000,NA,900,7.9,86.1,800,39000,NA,1000,8.3,13.3,5,8.3,13.3,NA,NA,5,7000,34000,NA,2.3,72.2,97,7.6,99.14,NA,NA,7000,16000,NA,2.3,71.7,72,7.5,99.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8048611111111,315.034722222222,111.282638888889
"10",2019-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,14.3,5,9.3,14.3,NA,NA,5,NA,NA,NA,NA,NA,NA,7.5,99,NA,23.5,NA,NA,NA,NA,NA,NA,7.4,98.91,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5972222222222,354.43125,113.6375
