"","datetime","PS_primary_flow_total_mgd","AD_primary_sludge_TS_pct","AD_primary_sludge_VS_pct","PS_primary_sludge_TS_load_lbs","PS_primary_sludge_VS_load_lbs","AD_feed_primary_sludge_TS_total_weekly_load_lbs","AD_feed_primary_sludge_VS_total_weekly_load_lbs","PS_primary_sludge_weekly_TS_load_lbs","PS_primary_sludge_weekly_VS_load_lbs","PS_primary_sludge_monthly_TS_load_lbs","AD_twas_flow_total_mgd","AD_twas_TS_pct","AD_twas_VS_pct","AD_twas_TS_load_lbs","AD_twas_VS_load_lbs","thickening_twas_sludge_weekly_TS_load_lbs","thickening_twas_sludge_weekly_VS_load_lbs","AD_waste_provider_TS_pct","AD_waste_provider_VS_pct","AD_FOG_total_MG","AD_slurry_TS_pct","AD_slurry_VS_pct","AD_FOG_VS_load_lbs","AD_FOG_TS_load_lbs","AD_FOG_weekly_TS_load_lbs","AD_FOG_weekly_VS_load_lbs","AD_total_feed_flow_mgd","AD_primary_flow_pct","AD_twas_flow_pct","AD_FOG_flow_pct","daily_ccr_digester","daily_ccr_slurry"
"1",2021-03-12,0.0311,5.22,87.4,13528.09,11823.55,NA,NA,NA,NA,NA,0.01601,7.06,85.7,9426.75,8078.73,NA,NA,NA,NA,0.022,NA,NA,NA,NA,NA,NA,0.0691,44.96,23.17,31.83,339.265432098765,544.026184538653
"2",2021-03-13,0.0221,NA,NA,NA,NA,NA,NA,75129.77,66264.46,NA,0.011814,NA,NA,NA,NA,49890.01,42955.3,NA,NA,0.0083,NA,NA,NA,NA,94272.36,87013.39,0.0422,52.3,27.98,19.66,81,519.865598885794
"3",2021-03-14,0.0227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009932,NA,NA,NA,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,NA,NA,NA,0.0339,66.97,29.31,3.84,81,507.140988372093
"4",2021-03-15,0.0253,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012424,NA,NA,NA,NA,NA,NA,NA,NA,0.0214,NA,NA,NA,NA,NA,NA,0.0591,42.78,21.01,36.19,81,484.965517241379
"5",2021-03-16,0.0238,NA,NA,NA,8841.651,NA,NA,NA,NA,NA,0.011164,NA,NA,NA,NA,NA,NA,NA,NA,0.025,12,96.9,24244.38,25020,NA,NA,0.06,39.61,18.62,41.69,452.842007434944,915.033747779751
"6",2021-03-17,0.0265,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009899,NA,NA,NA,NA,NA,NA,NA,NA,0.0197,NA,NA,NA,NA,NA,NA,0.056,47.24,17.66,35.15,393.376569037657,1273.09381663113
"7",2021-03-18,0.0216,NA,NA,NA,NA,94696.65,82764.87,NA,NA,NA,0.008342,NA,NA,NA,NA,NA,NA,NA,NA,0.0222,14.7,97.3,26481.9,27216.76,NA,NA,0.0521,41.34,16,42.59,409.210562890896,1416.84655532359
"8",2021-03-19,0.0355,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008385,NA,NA,NA,NA,NA,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,0.0679,52.27,12.35,35.34,454.027139874739,1409.94153846154
"9",2021-03-20,0.0287,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011556,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,146522.12,142272.98,0.0583,49.22,19.83,30.89,670.039610840862,1386.82352941176
"10",2021-03-21,0.0252,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01259,NA,NA,NA,NA,NA,NA,NA,NA,0.0082,NA,NA,NA,NA,NA,NA,0.0459,54.81,27.4,17.85,569.639777468706,1217.52155771905
