"SSAD_biogas_production_raw_pkey","reactor","innoculation_date","sample_date","day","biogas_yield_ml","methane_pct","prairie_biomass_beef_manure_ratio","total_solids_pct","pH","NH3_sample_1","NH3_sample_2"
1,1,2023-05-21,2023-05-23,2,94,13.1,"Pure Grass","15%",7.8,16.7,16.4
2,1,2023-05-21,2023-05-26,5,75,63.6,"Pure Grass","15%",7.8,16.7,16.4
3,1,2023-05-21,2023-05-30,9,47,64.5,"Pure Grass","15%",7.8,16.7,16.4
4,1,2023-05-21,2023-06-04,14,82,85.7,"Pure Grass","15%",7.8,16.7,16.4
5,1,2023-05-21,2023-06-12,22,28,NA,"Pure Grass","15%",7.8,16.7,16.4
6,1,2023-05-21,2023-06-15,25,25,4.2,"Pure Grass","15%",7.8,16.7,16.4
7,1,2023-05-21,2023-06-17,27,39,32,"Pure Grass","15%",7.8,16.7,16.4
8,1,2023-05-21,2023-06-19,29,54,31.1,"Pure Grass","15%",7.8,16.7,16.4
9,1,2023-05-21,2023-06-27,37,55,85.8,"Pure Grass","15%",7.8,16.7,16.4
10,1,2023-05-21,2023-06-29,2,5.59,NA,"Pure Grass","15%",7.8,16.7,16.4
11,1,2023-05-21,2023-07-01,5,16,20.8,"Pure Grass","15%",7.8,16.7,16.4
12,1,2023-05-21,2023-07-03,9,1840,NA,"Pure Grass","15%",7.8,16.7,16.4
13,1,2023-05-21,2023-07-09,14,NA,NA,"Pure Grass","15%",7.8,16.7,16.4
14,2,2023-05-21,2023-05-23,2,99,31.9,"10:1","15%",8.02,4.9,5.2
15,2,2023-05-21,2023-05-26,5,NA,NA,"10:1","15%",8.02,4.9,5.2
16,2,2023-05-21,2023-05-30,9,122,43.8,"10:1","15%",8.02,4.9,5.2
17,2,2023-05-21,2023-06-04,14,372,73.9,"10:1","15%",8.02,4.9,5.2
18,2,2023-05-21,2023-06-12,22,NA,NA,"10:1","15%",8.02,4.9,5.2
19,2,2023-05-21,2023-06-15,25,130,58.3,"10:1","15%",8.02,4.9,5.2
20,2,2023-05-21,2023-06-17,27,50,47.7,"10:1","15%",8.02,4.9,5.2
21,2,2023-05-21,2023-06-19,29,12,8.6,"10:1","15%",8.02,4.9,5.2
22,2,2023-05-21,2023-06-27,37,742,75.5,"10:1","15%",8.02,4.9,5.2
23,2,2023-05-21,2023-06-29,2,7.56,NA,"10:1","15%",8.02,4.9,5.2
24,2,2023-05-21,2023-07-01,5,9.19,9.48,"10:1","15%",8.02,4.9,5.2
25,2,2023-05-21,2023-07-03,9,933.5,NA,"10:1","15%",8.02,4.9,5.2
26,2,2023-05-21,2023-07-09,14,NA,NA,"10:1","15%",8.02,4.9,5.2
27,3,2023-05-21,2023-05-23,2,4,52.9,"5:1","15%",7.55,12.6,4.05
28,3,2023-05-21,2023-05-26,5,NA,NA,"5:1","15%",7.55,12.6,4.05
29,3,2023-05-21,2023-05-30,9,NA,NA,"5:1","15%",7.55,12.6,4.05
30,3,2023-05-21,2023-06-04,14,NA,NA,"5:1","15%",7.55,12.6,4.05
31,3,2023-05-21,2023-06-12,22,72,54.5,"5:1","15%",7.55,12.6,4.05
32,3,2023-05-21,2023-06-15,25,35,54.5,"5:1","15%",7.55,12.6,4.05
33,3,2023-05-21,2023-06-17,27,34,16.2,"5:1","15%",7.55,12.6,4.05
34,3,2023-05-21,2023-06-19,29,87,11.8,"5:1","15%",7.55,12.6,4.05
35,3,2023-05-21,2023-06-27,37,75,91.4,"5:1","15%",7.55,12.6,4.05
36,3,2023-05-21,2023-06-29,2,5.47,NA,"5:1","15%",7.55,12.6,4.05
37,3,2023-05-21,2023-07-01,5,19.7,18.5,"5:1","15%",7.55,12.6,4.05
38,3,2023-05-21,2023-07-03,9,1910,NA,"5:1","15%",7.55,12.6,4.05
39,3,2023-05-21,2023-07-09,14,NA,NA,"5:1","15%",7.55,12.6,4.05
40,4,2023-05-21,2023-05-23,2,365,12.9,"4:1","15%",7.28,12.7,6.55
41,4,2023-05-21,2023-05-26,5,89,13.1,"4:1","15%",7.28,12.7,6.55
42,4,2023-05-21,2023-05-30,9,NA,NA,"4:1","15%",7.28,12.7,6.55
43,4,2023-05-21,2023-06-04,14,87,65.2,"4:1","15%",7.28,12.7,6.55
44,4,2023-05-21,2023-06-12,22,40,55.3,"4:1","15%",7.28,12.7,6.55
45,4,2023-05-21,2023-06-15,25,45,27.5,"4:1","15%",7.28,12.7,6.55
46,4,2023-05-21,2023-06-17,27,54,10,"4:1","15%",7.28,12.7,6.55
47,4,2023-05-21,2023-06-19,29,11,52.5,"4:1","15%",7.28,12.7,6.55
48,4,2023-05-21,2023-06-27,37,20,74.6,"4:1","15%",7.28,12.7,6.55
49,4,2023-05-21,2023-06-29,2,5.55,NA,"4:1","15%",7.28,12.7,6.55
50,4,2023-05-21,2023-07-01,5,14.7,23,"4:1","15%",7.28,12.7,6.55
51,4,2023-05-21,2023-07-03,9,1885,NA,"4:1","15%",7.28,12.7,6.55
52,4,2023-05-21,2023-07-09,14,NA,NA,"4:1","15%",7.28,12.7,6.55
53,5,2023-05-21,2023-05-23,2,190,20.2,"3:1","15%",7.84,16,21.2
54,5,2023-05-21,2023-05-26,5,87,8,"3:1","15%",7.84,16,21.2
55,5,2023-05-21,2023-05-30,9,24,45.7,"3:1","15%",7.84,16,21.2
56,5,2023-05-21,2023-06-04,14,54,69,"3:1","15%",7.84,16,21.2
57,5,2023-05-21,2023-06-12,22,750,75.3,"3:1","15%",7.84,16,21.2
58,5,2023-05-21,2023-06-15,25,557,64.8,"3:1","15%",7.84,16,21.2
59,5,2023-05-21,2023-06-17,27,14,3,"3:1","15%",7.84,16,21.2
60,5,2023-05-21,2023-06-19,29,113,54.2,"3:1","15%",7.84,16,21.2
61,5,2023-05-21,2023-06-27,37,14,80.6,"3:1","15%",7.84,16,21.2
62,5,2023-05-21,2023-06-29,2,6.78,NA,"3:1","15%",7.84,16,21.2
63,5,2023-05-21,2023-07-01,5,NA,NA,"3:1","15%",7.84,16,21.2
64,6,2023-05-21,2023-05-23,2,233,15.2,"Pure Grass","25%",7.95,7.69,7.3
65,6,2023-05-21,2023-05-26,5,55,5.1,"Pure Grass","25%",7.95,7.69,7.3
66,6,2023-05-21,2023-05-30,9,24,53.8,"Pure Grass","25%",7.95,7.69,7.3
67,6,2023-05-21,2023-06-04,14,45,76.9,"Pure Grass","25%",7.95,7.69,7.3
68,6,2023-05-21,2023-06-12,22,80,64.1,"Pure Grass","25%",7.95,7.69,7.3
69,6,2023-05-21,2023-06-15,25,65,52.2,"Pure Grass","25%",7.95,7.69,7.3
70,6,2023-05-21,2023-06-17,27,43,50.7,"Pure Grass","25%",7.95,7.69,7.3
71,6,2023-05-21,2023-06-19,29,22,51.8,"Pure Grass","25%",7.95,7.69,7.3
72,6,2023-05-21,2023-06-27,37,20,55.3,"Pure Grass","25%",7.95,7.69,7.3
73,6,2023-05-21,2023-06-29,2,3.01,3.87,"Pure Grass","25%",7.95,7.69,7.3
74,6,2023-05-21,2023-07-01,5,5.94,NA,"Pure Grass","25%",7.95,7.69,7.3
75,6,2023-05-21,2023-07-03,9,344,NA,"Pure Grass","25%",7.95,7.69,7.3
76,6,2023-05-21,2023-07-09,14,NA,NA,"Pure Grass","25%",7.95,7.69,7.3
77,7,2023-05-21,2023-05-23,2,72,34.8,"10:1","25%",8.25,11.8,10.8
78,7,2023-05-21,2023-05-26,5,61,2.7,"10:1","25%",8.25,11.8,10.8
79,7,2023-05-21,2023-05-30,9,65,NA,"10:1","25%",8.25,11.8,10.8
80,7,2023-05-21,2023-06-04,14,45,66.8,"10:1","25%",8.25,11.8,10.8
81,7,2023-05-21,2023-06-12,22,60,62.4,"10:1","25%",8.25,11.8,10.8
82,7,2023-05-21,2023-06-15,25,67,71.3,"10:1","25%",8.25,11.8,10.8
83,7,2023-05-21,2023-06-17,27,71,48,"10:1","25%",8.25,11.8,10.8
84,7,2023-05-21,2023-06-19,29,81,24.1,"10:1","25%",8.25,11.8,10.8
85,7,2023-05-21,2023-06-27,37,98,77.3,"10:1","25%",8.25,11.8,10.8
