"liquid_reuse_biogas_production_raw_pkey","trial","prairie_grass_to_manure_ratio","particle_size","reactor","day","sample_date","biogas_yield_ml","methane_pct","daily_methane_ml","cumulative_methane_ml","total_solids_pct","pH","NH3","starting_water_g","remaining_free_liquid_g","net_water_loss_g","water_replaced_ppn"
1,1,"3:1","1 inch","13",3,NA,48,32.8,5.248,5.248,25,7.65,354,94.45,7.61,86.84,0.919428268925357
2,1,"3:1","1 inch","13",6,NA,45,13.9,6.255,11.503,25,7.65,354,94.45,7.61,86.84,0.919428268925357
3,1,"3:1","1 inch","13",9,NA,53,31.7,16.801,28.304,25,7.65,354,94.45,7.61,86.84,0.919428268925357
4,1,"3:1","1 inch","13",12,NA,34,38,12.92,41.224,25,7.65,354,94.45,7.61,86.84,0.919428268925357
5,1,"3:1","1 inch","13",15,NA,37,42.6,15.762,56.986,25,7.65,354,94.45,7.61,86.84,0.919428268925357
6,1,"3:1","1 inch","13",18,NA,73,66.7,48.691,105.677,25,7.65,354,94.45,7.61,86.84,0.919428268925357
7,1,"3:1","1 inch","13",21,NA,44,42.9,18.876,124.553,25,7.65,354,94.45,7.61,86.84,0.919428268925357
8,1,"3:1","1 inch","13",24,NA,28,43.4,12.152,136.705,25,7.65,354,94.45,7.61,86.84,0.919428268925357
9,1,"3:1","1 inch","13",27,NA,51,60.5,30.855,167.56,25,7.65,354,94.45,7.61,86.84,0.919428268925357
10,1,"3:1","1 inch","13",30,NA,61,51.2,31.232,198.792,25,7.65,354,94.45,7.61,86.84,0.919428268925357
11,1,"3:1","1 inch","13",33,NA,90,54.6,49.14,247.932,25,7.65,354,94.45,7.61,86.84,0.919428268925357
12,1,"3:1","1 inch","13",35,NA,80,52.9,42.32,290.252,25,7.65,354,94.45,7.61,86.84,0.919428268925357
13,1,"3:1","1 inch","14",3,NA,60,2.9,0.58,0.58,25,5.83,494,94.45,9.55,84.9,0.898888300688195
14,1,"3:1","1 inch","14",6,NA,101,2.3,2.323,2.903,25,5.83,494,94.45,9.55,84.9,0.898888300688195
15,1,"3:1","1 inch","14",9,NA,91,2.7,2.457,5.36,25,5.83,494,94.45,9.55,84.9,0.898888300688195
16,1,"3:1","1 inch","14",12,NA,83,51,42.33,47.69,25,5.83,494,94.45,9.55,84.9,0.898888300688195
17,1,"3:1","1 inch","14",15,NA,97,65.5,63.535,111.225,25,5.83,494,94.45,9.55,84.9,0.898888300688195
18,1,"3:1","1 inch","14",18,NA,101,44.1,44.541,155.766,25,5.83,494,94.45,9.55,84.9,0.898888300688195
19,1,"3:1","1 inch","14",21,NA,55,51.7,28.435,184.201,25,5.83,494,94.45,9.55,84.9,0.898888300688195
20,1,"3:1","1 inch","14",24,NA,61,61.9,37.759,221.96,25,5.83,494,94.45,9.55,84.9,0.898888300688195
21,1,"3:1","1 inch","14",27,NA,52,59.9,31.148,253.108,25,5.83,494,94.45,9.55,84.9,0.898888300688195
22,1,"3:1","1 inch","14",30,NA,100,50.7,50.7,303.808,25,5.83,494,94.45,9.55,84.9,0.898888300688195
23,1,"3:1","1 inch","14",33,NA,120,50.9,61.08,364.888,25,5.83,494,94.45,9.55,84.9,0.898888300688195
24,1,"3:1","1 inch","14",35,NA,48,47,22.56,387.448,25,5.83,494,94.45,9.55,84.9,0.898888300688195
25,1,"3:1","1 inch","15",3,NA,27,4.2,0.378,0.378,25,5.58,181.6,94.45,17.74,76.76,0.812275132275132
26,1,"3:1","1 inch","15",6,NA,40,37.4,14.96,15.338,25,5.58,181.6,94.45,17.74,76.76,0.812275132275132
27,1,"3:1","1 inch","15",9,NA,61,36.7,22.387,37.725,25,5.58,181.6,94.45,17.74,76.76,0.812275132275132
