"recirculation_biogas_production_raw_pkey","day","sample_date","biogas_yield_ml","methane_pct","reactor","percolation","daily_methane_ml","cumulative_methane_ml"
1,0,2023-12-18,1,NA,1,"3.5 hours off, 0.5 hours on",NA,NA
2,3,2023-12-21,91,3.7,1,"3.5 hours off, 0.5 hours on",3.367,3.367
3,6,2023-12-24,54,2.8,1,"3.5 hours off, 0.5 hours on",1.512,4.879
4,9,2023-12-27,20,37.2,1,"3.5 hours off, 0.5 hours on",7.44,12.319
5,12,2023-12-30,42,41.7,1,"3.5 hours off, 0.5 hours on",17.514,29.833
6,15,2024-01-02,113,61.6,1,"3.5 hours off, 0.5 hours on",69.608,99.441
7,18,2024-01-05,160,2.2,1,"3.5 hours off, 0.5 hours on",3.52,102.961
8,21,2024-01-08,115,52.9,1,"3.5 hours off, 0.5 hours on",60.835,163.796
9,24,2024-01-11,8,23.8,1,"3.5 hours off, 0.5 hours on",1.904,165.7
10,27,2024-01-14,88,47.3,1,"3.5 hours off, 0.5 hours on",41.624,207.324
11,30,2024-01-17,NA,NA,1,"3.5 hours off, 0.5 hours on",0,207.324
12,33,2024-01-20,103,70,1,"3.5 hours off, 0.5 hours on",72.1,279.424
13,35,2024-01-22,172,69.1,1,"3.5 hours off, 0.5 hours on",118.852,398.276
14,38,2024-01-25,262,71.4,1,"3.5 hours off, 0.5 hours on",187.068,585.344
15,41,2024-01-28,420,NA,1,"3.5 hours off, 0.5 hours on",0,585.344
16,44,2024-01-31,525,52.1,1,"3.5 hours off, 0.5 hours on",273.525,858.869
17,47,2024-02-03,470,73.9,1,"3.5 hours off, 0.5 hours on",347.33,1206.199
18,53,2024-02-09,600,65.2,1,"3.5 hours off, 0.5 hours on",391.2,1597.399
19,56,2024-02-12,220,65.7,1,"3.5 hours off, 0.5 hours on",144.54,1741.939
20,62,2024-02-18,643,70.7,1,"3.5 hours off, 0.5 hours on",454.601,2196.54
21,67,2024-02-21,357,64.9,1,"3.5 hours off, 0.5 hours on",231.693,2428.233
22,70,2024-02-24,300,83.2,1,"3.5 hours off, 0.5 hours on",249.6,2677.833
23,73,2024-02-27,180,78,1,"3.5 hours off, 0.5 hours on",140.4,2818.233
24,76,2024-03-01,420,79.9,1,"3.5 hours off, 0.5 hours on",335.58,3153.813
25,80,2024-03-05,420,83.3,1,"3.5 hours off, 0.5 hours on",349.86,3503.673
26,0,2023-12-18,2,NA,2,"3.5 hours off, 0.5 hours on",NA,NA
